seed,variant,generation,campaign_wall_s,training_physics_steps,precision,recall,f1,matched,target_notes,actual_notes,solver_warnings
1,frozen,60,2314.688,11160000,0.1875,0.25,0.21428571428571427,3,12,16,0
1,frozen,61,2365.125,11346000,0.17647058823529413,0.25,0.20689655172413793,3,12,17,0
1,frozen,62,2415.5,11532000,0.1875,0.25,0.21428571428571427,3,12,16,0
1,frozen,63,2450.5780000000013,11718000,0.16666666666666666,0.25,0.2,3,12,18,0
1,frozen,64,2501.594000000001,11904000,0.1875,0.25,0.21428571428571427,3,12,16,0
1,frozen,65,2553.156000000001,12090000,0.1875,0.25,0.21428571428571427,3,12,16,0
1,frozen,66,2596.7030000000013,12276000,0.16666666666666666,0.25,0.2,3,12,18,0
1,frozen,67,2631.4850000000006,12462000,0.2,0.25,0.22222222222222224,3,12,15,0
1,frozen,68,2683.1100000000006,12648000,0.1875,0.25,0.21428571428571427,3,12,16,0
1,frozen,69,2734.813,12834000,0.15789473684210525,0.25,0.1935483870967742,3,12,19,0
1,rewired,0,7.125,0,0.0,0.0,0,0,12,24,0
1,rewired,1,35.34400000000096,186000,0.05555555555555555,0.08333333333333333,0.06666666666666667,1,12,18,0
1,rewired,2,78.59400000000096,372000,0.043478260869565216,0.08333333333333333,0.057142857142857134,1,12,23,0
1,rewired,3,125.65600000000086,558000,0.045454545454545456,0.08333333333333333,0.05882352941176471,1,12,22,0
1,rewired,4,157.57800000000134,744000,0.09523809523809523,0.16666666666666666,0.12121212121212123,2,12,21,0
1,rewired,5,192.76600000000144,930000,0.1111111111111111,0.16666666666666666,0.13333333333333333,2,12,18,0
1,rewired,6,247.84400000000096,1116000,0.1111111111111111,0.16666666666666666,0.13333333333333333,2,12,18,0
1,rewired,7,295.84400000000096,1302000,0.14285714285714285,0.16666666666666666,0.15384615384615383,2,12,14,0
1,rewired,8,328.40600000000086,1488000,0.11764705882352941,0.16666666666666666,0.13793103448275862,2,12,17,0
1,rewired,9,372.03100000000086,1674000,0.125,0.16666666666666666,0.14285714285714288,2,12,16,0
1,rewired,10,425.3130000000001,1860000,0.23529411764705882,0.3333333333333333,0.27586206896551724,4,12,17,0
1,rewired,11,466.39100000000144,2046000,0.26666666666666666,0.3333333333333333,0.2962962962962963,4,12,15,0
1,rewired,12,498.9850000000006,2232000,0.25,0.3333333333333333,0.28571428571428575,4,12,16,0
1,rewired,13,531.6880000000001,2418000,0.23529411764705882,0.3333333333333333,0.27586206896551724,4,12,17,0
1,rewired,14,565.1100000000006,2604000,0.21052631578947367,0.3333333333333333,0.2580645161290323,4,12,19,0
1,rewired,15,598.125,2790000,0.25,0.3333333333333333,0.28571428571428575,4,12,16,0
1,rewired,16,631.7810000000009,2976000,0.25,0.3333333333333333,0.28571428571428575,4,12,16,0
1,rewired,17,664.8280000000013,3162000,0.23529411764705882,0.3333333333333333,0.27586206896551724,4,12,17,0
1,rewired,18,699.4220000000005,3348000,0.25,0.3333333333333333,0.28571428571428575,4,12,16,0
1,rewired,19,732.6410000000014,3534000,0.25,0.3333333333333333,0.28571428571428575,4,12,16,0
1,rewired,20,765.6560000000009,3720000,0.2222222222222222,0.3333333333333333,0.26666666666666666,4,12,18,0
1,rewired,21,798.5160000000014,3906000,0.2857142857142857,0.3333333333333333,0.30769230769230765,4,12,14,0
1,rewired,22,842.6560000000009,4092000,0.3125,0.4166666666666667,0.35714285714285715,5,12,16,0
1,rewired,23,894.0780000000013,4278000,0.26666666666666666,0.3333333333333333,0.2962962962962963,4,12,15,0
1,rewired,24,935.2030000000013,4464000,0.29411764705882354,0.4166666666666667,0.3448275862068966,5,12,17,0
1,rewired,25,970.7660000000014,4650000,0.29411764705882354,0.4166666666666667,0.3448275862068966,5,12,17,0
1,rewired,26,1007.875,4836000,0.3125,0.4166666666666667,0.35714285714285715,5,12,16,0
1,rewired,27,1057.938,5022000,0.35714285714285715,0.4166666666666667,0.3846153846153846,5,12,14,0
1,rewired,28,1098.6720000000005,5208000,0.29411764705882354,0.4166666666666667,0.3448275862068966,5,12,17,0
1,rewired,29,1141.75,5394000,0.35714285714285715,0.4166666666666667,0.3846153846153846,5,12,14,0
1,rewired,30,1179.844000000001,5580000,0.3333333333333333,0.4166666666666667,0.3703703703703704,5,12,15,0
1,rewired,31,1216.4060000000009,5766000,0.3333333333333333,0.4166666666666667,0.3703703703703704,5,12,15,0
1,rewired,32,1248.875,5952000,0.3125,0.4166666666666667,0.35714285714285715,5,12,16,0
1,rewired,33,1281.9220000000005,6138000,0.3333333333333333,0.4166666666666667,0.3703703703703704,5,12,15,0
1,rewired,34,1320.688,6324000,0.35714285714285715,0.4166666666666667,0.3846153846153846,5,12,14,0
1,rewired,35,1375.9220000000005,6510000,0.35714285714285715,0.4166666666666667,0.3846153846153846,5,12,14,0
1,rewired,36,1422.3600000000006,6696000,0.3125,0.4166666666666667,0.35714285714285715,5,12,16,0
1,rewired,37,1455.094000000001,6882000,0.3333333333333333,0.4166666666666667,0.3703703703703704,5,12,15,0
1,rewired,38,1487.7970000000005,7068000,0.3333333333333333,0.4166666666666667,0.3703703703703704,5,12,15,0
1,rewired,39,1519.938,7254000,0.3333333333333333,0.4166666666666667,0.3703703703703704,5,12,15,0
1,rewired,40,1556.2660000000014,7440000,0.35714285714285715,0.4166666666666667,0.3846153846153846,5,12,14,0
1,rewired,41,1603.6720000000005,7626000,0.35714285714285715,0.4166666666666667,0.3846153846153846,5,12,14,0
1,rewired,42,1636.688,7812000,0.3125,0.4166666666666667,0.35714285714285715,5,12,16,0
1,rewired,43,1670.75,7998000,0.38461538461538464,0.4166666666666667,0.4,5,12,13,0
1,rewired,44,1704.2030000000013,8184000,0.35714285714285715,0.4166666666666667,0.3846153846153846,5,12,14,0
1,rewired,45,1740.2810000000009,8370000,0.35714285714285715,0.4166666666666667,0.3846153846153846,5,12,14,0
1,rewired,46,1784.875,8556000,0.35714285714285715,0.4166666666666667,0.3846153846153846,5,12,14,0
1,rewired,47,1823.313,8742000,0.35714285714285715,0.4166666666666667,0.3846153846153846,5,12,14,0
1,rewired,48,1855.125,8928000,0.35714285714285715,0.4166666666666667,0.3846153846153846,5,12,14,0
1,rewired,49,1888.0470000000005,9114000,0.38461538461538464,0.4166666666666667,0.4,5,12,13,0
1,rewired,50,1921.0160000000014,9300000,0.3333333333333333,0.4166666666666667,0.3703703703703704,5,12,15,0
1,rewired,51,1958.6410000000014,9486000,0.25,0.25,0.25,3,12,12,0
