bodyId,cell_type,kind,region,mean_rate,max_rate,rate_sd,fraction_frames_active,geometry_displayed
162825,MNml76,MN,T2,0.0,0.0,0.0,0.0,True
162827,MNml86,MN,T2,0.0,0.0,0.0,0.0,True
162830,ltm1-tibia MN,MN,T2,0.020024379715323448,0.13335248827934265,0.028002029284834862,0.0,True
162833,Tr extensor MN,MN,T2,0.0,0.0,0.0,0.0,True
162868,Acc. ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
162912,Tr extensor MN,MN,T3,0.0,0.0,0.0,0.0,True
162913,Tr flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
163009,MNhl73,MN,T3,0.0,0.0,0.0,0.0,True
163686,Tr flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
163719,Sternal posterior rotator MN,MN,T1,0.0,0.0,0.0,0.0,True
164741,Sternal anterior rotator MN,MN,T3,0.0,0.0,0.0,0.0,True
165340,Tr extensor MN,MN,T3,0.0,0.0,0.0,0.0,True
165511,Ta depressor MN,MN,T1,23.38069725036621,23.500253677368164,0.07473345100879669,1.0,True
166171,Tr flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
166309,Tergotr. MN,MN,T1,0.0,0.0,0.0,0.0,True
166337,Pleural remotor/abductor MN,MN,T2,0.0,0.0,0.0,0.0,True
166374,Acc. ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
166385,ltm1-tibia MN,MN,T1,0.0,0.0,0.0,0.0,True
166392,Sternotrochanter MN,MN,T2,0.0,0.0,0.0,0.0,True
166393,ltm MN,MN,T3,0.0,0.0,0.0,0.0,True
166397,Acc. ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
167438,Ti flexor MN,MN,T2,4.12076997756958,4.1254448890686035,0.003414182923734188,1.0,True
167442,Tr flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
167919,MNml78,MN,T2,0.0,0.0,0.0,0.0,True
171055,Sternal adductor MN,MN,T2,2.058753728866577,2.158181667327881,0.050314903259277344,1.0,True
171948,Tr flexor MN,MN,T2,7.610260486602783,20.511924743652344,6.331305027008057,0.898572501878287,True
172408,Sternal posterior rotator MN,MN,T2,0.0,0.0,0.0,0.0,True
173560,Tr extensor MN,MN,T1,0.0,0.0,0.0,0.0,True
175327,Tergotr. MN,MN,T2,0.0,0.0,0.0,0.0,True
176866,Acc. ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
192299,Ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
192364,MNhl71,MN,T3,0.0,0.0,0.0,0.0,True
200065,MNml77,MN,T2,0.6946178078651428,0.9786022305488586,0.15139934420585632,0.0,True
218885,Tr flexor MN,MN,T2,0.029266001656651497,0.14089356362819672,0.03207096457481384,0.0,True
219796,Sternal anterior rotator MN,MN,T2,0.0,0.0,0.0,0.0,True
219853,Pleural remotor/abductor MN,MN,T2,0.0,0.0,0.0,0.0,True
219894,Fe reductor MN,MN,T1,0.0,0.0,0.0,0.0,True
221983,MNhl01,MN,T3,0.0,0.0,0.0,0.0,True
226276,Fe reductor MN,MN,T1,0.0,0.0,0.0,0.0,True
11162403133,Sternal posterior rotator MN,MN,T3,0.0,0.0,0.0,0.0,True
28532466490,ltm2-femur MN,MN,T2,7.036274433135986,7.2305145263671875,0.11126822978258133,1.0,True
