experiment_id,condition,variant,metric,n,n_seeds,n_sequences,n_connectome_instances,mean,median,sd,ci_low,ci_high
A2,down_large,no_cpg,energy_proxy,8,8,3,1,26.802024126052856,23.03765296936035,11.75929964621992,19.51136350631714,35.05765247344971
A2,down_large,no_cpg,joint_velocity_rms,8,8,3,1,0.526527401059866,0.49715474247932434,0.11410260447854863,0.4540712311863899,0.602730218321085
A2,down_large,no_feedback,motor_rhythm_power,8,8,3,1,0.023722421610727906,0.024799986742436886,0.01164006817316497,0.015402138233184814,0.03044745022780262
A2,down_large,no_feedback,motor_frequency_hz,7,8,3,1,1.0,1.0,0.0,1.0,1.0
A2,down_large,no_feedback,oscillating_mn_fraction,8,8,3,1,0.0047831632653061226,0.00510204081632653,0.0031796516703015937,0.002869897959183673,0.006696428571428571
A2,down_large,no_feedback,key_accuracy,8,8,3,1,0.3125,0.3333333333333333,0.13176156917368248,0.21875,0.375
A2,down_large,no_feedback,precision,8,8,3,1,0.875,1.0,0.3535533905932738,0.625,1.0
A2,down_large,no_feedback,timing_mae_s,7,8,3,1,0.11221428571428572,0.11200000000000002,0.0026435005651777722,0.11057142857142857,0.11421428571428571
A2,down_large,no_feedback,timing_jitter_s,7,8,3,1,0.002621173184344436,0.0014142135623730963,0.0026532838551828882,0.0012288471166631986,0.004604464061237508
A2,down_large,no_feedback,misses,8,8,3,1,8.25,8.0,1.5811388300841898,7.5,9.375
A2,down_large,no_feedback,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,down_large,no_feedback,energy_proxy,8,8,3,1,31.44413161277771,28.05829620361328,10.187901385576128,25.567286014556885,38.427527481317526
A2,down_large,no_feedback,joint_velocity_rms,8,8,3,1,0.5746462307870388,0.546283096075058,0.09255475947037037,0.5214818380773067,0.6388141938485206
A2,down_small,full,motor_rhythm_power,8,8,3,1,0.5100218616425991,0.521258682012558,0.17352154415141488,0.40114749744534495,0.6232789697125555
A2,down_small,full,motor_frequency_hz,8,8,3,1,8.020238095238096,8.291666666666668,0.731026054919058,7.477083333333334,8.430059523809526
A2,down_small,full,oscillating_mn_fraction,8,8,3,1,0.01020408163265306,0.008928571428571428,0.004723571937615059,0.007334183673469387,0.013392857142857142
A2,down_small,full,key_accuracy,8,8,3,1,0.35416666666666663,0.4166666666666667,0.15268756355215074,0.23958333333333334,0.4375
A2,down_small,full,precision,8,8,3,1,0.875,1.0,0.3535533905932738,0.625,1.0
A2,down_small,full,timing_mae_s,7,8,3,1,0.1127190476190476,0.11200000000000002,0.002136790353748581,0.11134285714285715,0.11425238095238092
A2,down_small,full,timing_jitter_s,7,8,3,1,0.003357414488731573,0.00244948974278309,0.002132853161689795,0.0019443562163113874,0.004915241318541967
A2,down_small,full,misses,8,8,3,1,7.75,7.0,1.8322507626258087,6.75,9.125
A2,down_small,full,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,down_small,full,energy_proxy,8,8,3,1,32.3039345741272,28.769380569458008,10.057838919051706,26.352033424377442,39.05081629753113
A2,down_small,full,joint_velocity_rms,8,8,3,1,0.5823703594505787,0.5538642108440399,0.08932412031111597,0.529562562983483,0.6427174635231495
A2,down_small,no_cpg,motor_rhythm_power,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,down_small,no_cpg,motor_frequency_hz,0,8,3,1,,,,,
A2,down_small,no_cpg,oscillating_mn_fraction,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,down_small,no_cpg,key_accuracy,8,8,3,1,0.11458333333333334,0.0,0.16629422672260707,0.03125,0.22916666666666669
A2,down_small,no_cpg,precision,8,8,3,1,0.375,0.0,0.5175491695067657,0.125,0.75
A2,down_small,no_cpg,timing_mae_s,3,8,3,1,0.1136444444444445,0.11466666666666676,0.0017705408255149057,0.11159999999999999,0.11466666666666676
A2,down_small,no_cpg,timing_jitter_s,3,8,3,1,0.003636974786700716,0.004618802153517011,0.0017005748835873878,0.0016733200530681261,0.004618802153517011
A2,down_small,no_cpg,misses,8,8,3,1,10.625,12.0,1.9955307206712847,9.25,11.625
A2,down_small,no_cpg,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,down_small,no_cpg,energy_proxy,8,8,3,1,26.980629205703735,23.03765296936035,11.709653032993723,19.868573665618896,35.05765247344971
A2,down_small,no_cpg,joint_velocity_rms,8,8,3,1,0.5284274481236935,0.49715474247932434,0.11369514607476046,0.45787132531404495,0.6031212732195854
A2,down_small,no_feedback,motor_rhythm_power,8,8,3,1,0.5143762789666653,0.5240922719240189,0.18570268388371736,0.39962951466441154,0.6343129536136985
A2,down_small,no_feedback,motor_frequency_hz,8,8,3,1,8.018154761904762,8.291666666666668,0.7199581313412287,7.501436011904762,8.430059523809524
A2,down_small,no_feedback,oscillating_mn_fraction,8,8,3,1,0.01020408163265306,0.008928571428571428,0.004723571937615059,0.007334183673469387,0.013392857142857142
A2,down_small,no_feedback,key_accuracy,8,8,3,1,0.34375,0.375,0.15064346112909244,0.23958333333333331,0.42708333333333337
A2,down_small,no_feedback,precision,8,8,3,1,0.875,1.0,0.3535533905932738,0.625,1.0
A2,down_small,no_feedback,timing_mae_s,7,8,3,1,0.11288095238095235,0.11200000000000002,0.0025142451295425646,0.11128571428571428,0.1147142857142857
A2,down_small,no_feedback,timing_jitter_s,7,8,3,1,0.0037395567300159732,0.00244948974278309,0.0027093462180099847,0.0019809308740137495,0.005722847606909018
A2,down_small,no_feedback,misses,8,8,3,1,7.875,7.5,1.807721533549109,6.875,9.125
A2,down_small,no_feedback,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,down_small,no_feedback,energy_proxy,8,8,3,1,32.33751392364502,28.772717475891113,10.158907489435101,26.342868041992187,39.081624031066895
A2,down_small,no_feedback,joint_velocity_rms,8,8,3,1,0.5812918059527874,0.5538395047187805,0.08948692588745662,0.5286576369777322,0.6420898382551968
A2,up_large,full,motor_rhythm_power,8,8,3,1,0.572907343506813,0.5495682656764984,0.07448726413057277,0.5279102759435773,0.6219197364524007
A2,up_large,full,motor_frequency_hz,8,8,3,1,8.804178838075009,8.854482323232324,0.2738207334886762,8.63016079182914,8.981017205730538
A2,up_large,full,oscillating_mn_fraction,8,8,3,1,0.08035714285714285,0.08035714285714285,0.00851554041220694,0.07493622448979592,0.0857780612244898
A2,up_large,full,key_accuracy,8,8,3,1,0.5833333333333334,0.5416666666666667,0.14085904245475278,0.5,0.6770833333333334
A2,up_large,full,precision,8,8,3,1,1.0,1.0,0.0,1.0,1.0
A2,up_large,full,timing_mae_s,8,8,3,1,0.1053714285714285,0.1057666666666666,0.0020840579886443255,0.10395833333333329,0.10667633928571421
A2,up_large,full,timing_jitter_s,8,8,3,1,0.0102375208156318,0.010355336868366458,0.0031365580616038806,0.008232404240818763,0.012238017707297915
A2,up_large,full,misses,8,8,3,1,5.0,5.5,1.6903085094570331,3.875,6.0
A2,up_large,full,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,up_large,full,energy_proxy,8,8,3,1,38.39028286933899,37.37068748474121,11.285191756998934,31.203989362716676,46.070415234565736
A2,up_large,full,joint_velocity_rms,8,8,3,1,0.6362504214048386,0.6297096908092499,0.09400901547317031,0.576050678268075,0.6998079245910048
A2,up_large,no_cpg,motor_rhythm_power,8,8,3,1,0.03156654303893447,0.031589437276124954,0.0012139304948782282,0.03079438067506999,0.03236466587986797
A2,up_large,no_cpg,motor_frequency_hz,8,8,3,1,1.0,1.0,0.0,1.0,1.0
A2,up_large,no_cpg,oscillating_mn_fraction,8,8,3,1,0.01211734693877551,0.011479591836734693,0.002261237909254894,0.010841836734693876,0.01371173469387755
A2,up_large,no_cpg,key_accuracy,8,8,3,1,0.36458333333333337,0.375,0.14041816800101725,0.2708333333333333,0.4479166666666667
A2,up_large,no_cpg,precision,8,8,3,1,1.0,1.0,0.0,1.0,1.0
A2,up_large,no_cpg,timing_mae_s,8,8,3,1,0.10827499999999982,0.1071666666666665,0.004401325557904942,0.10546239583333304,0.1111083333333332
A2,up_large,no_cpg,timing_jitter_s,8,8,3,1,0.004910365814762941,0.004338676126167974,0.0012212285298582276,0.004228059712030513,0.005762990942089278
A2,up_large,no_cpg,misses,8,8,3,1,7.625,7.5,1.685018016012207,6.625,8.75
A2,up_large,no_cpg,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,up_large,no_cpg,energy_proxy,8,8,3,1,31.821552515029907,29.259835243225098,12.314234771537027,24.140208035707474,39.99965928792953
A2,up_large,no_cpg,joint_velocity_rms,8,8,3,1,0.5763015672564507,0.5615972876548767,0.11212105732491293,0.5054807955399155,0.6522505240514874
A2,up_large,no_feedback,motor_rhythm_power,8,8,3,1,0.5726260542869568,0.5480503737926483,0.07700766547583125,0.5270921364426613,0.6236842513084412
A2,up_large,no_feedback,motor_frequency_hz,8,8,3,1,8.803170773558879,8.854482323232324,0.2720217814979813,8.63016079182914,8.978285980932151
A2,up_large,no_feedback,oscillating_mn_fraction,8,8,3,1,0.08035714285714285,0.08035714285714285,0.00851554041220694,0.07493622448979592,0.0857780612244898
A2,up_large,no_feedback,key_accuracy,8,8,3,1,0.5833333333333334,0.5416666666666667,0.14085904245475278,0.5,0.6770833333333334
A2,up_large,no_feedback,precision,8,8,3,1,1.0,1.0,0.0,1.0,1.0
A2,up_large,no_feedback,timing_mae_s,8,8,3,1,0.10549999999999993,0.10539999999999994,0.002252140039754465,0.10401065476190474,0.10692398809523805
A2,up_large,no_feedback,timing_jitter_s,8,8,3,1,0.010129386939659304,0.010198911586510052,0.0030836200250008703,0.008112768846002752,0.01207977695935849
A2,up_large,no_feedback,misses,8,8,3,1,5.0,5.5,1.6903085094570331,3.875,6.0
A2,up_large,no_feedback,extra_contacts,8,8,3,1,0.0,0.0,0.0,0.0,0.0
A2,up_large,no_feedback,energy_proxy,8,8,3,1,38.36685299873352,37.2839469909668,11.249122215464403,31.197023576498033,46.04567185640335
A2,up_large,no_feedback,joint_velocity_rms,8,8,3,1,0.6359146535396576,0.6284155547618866,0.09410387567580723,0.5758127409964799,0.6997113462537528
A2,up_small,full,motor_rhythm_power,8,8,3,1,0.6858429908752441,0.6886585354804993,0.0637983311653789,0.6416318766772747,0.7232175318524241
A2,up_small,full,motor_frequency_hz,8,8,3,1,8.97248220784526,8.907828282828284,0.1962939907177608,8.858812156491386,9.117107658285853
A2,up_small,full,oscillating_mn_fraction,8,8,3,1,0.04049744897959184,0.042091836734693876,0.00968404250203878,0.03443877551020408,0.046875
A2,up_small,full,key_accuracy,8,8,3,1,0.5625,0.5416666666666667,0.1390871600660467,0.47916666666666663,0.65625
A2,up_small,full,precision,8,8,3,1,1.0,1.0,0.0,1.0,1.0
A2,up_small,full,timing_mae_s,8,8,3,1,0.10905753968253959,0.10901587301587293,0.002640160043696083,0.10726582341269833,0.1106968253968253
