run_id,experiment_id,condition,variant,seed,sequence_id,motor_rhythm_power,motor_frequency_hz,oscillating_mn_fraction,key_accuracy,precision,timing_mae_s,timing_jitter_s,misses,extra_contacts,energy_proxy,joint_velocity_rms
A2_down_large_no_feedback_s02,A2,down_large,no_feedback,2,9c27d0905127f2eb,0.030199818313121796,1.0,0.00510204081632653,0.3333333333333333,1.0,0.11299999999999999,0.0038297084310252396,8,0,46.992008209228516,0.7112351655960083
A2_down_large_no_feedback_s03,A2,down_large,no_feedback,3,1d3eb94610b602b8,0.0,,0.0,0.4166666666666667,1.0,0.11200000000000002,0.0014142135623730963,7,0,32.58585739135742,0.5910870432853699
A2_down_large_no_feedback_s04,A2,down_large,no_feedback,4,d4b5f24b166dfc13,0.019023634493350983,1.0,0.002551020408163265,0.3333333333333333,1.0,0.10899999999999999,0.0011547005383791243,8,0,23.53073501586914,0.5014791488647461
A2_down_large_no_feedback_s05,A2,down_large,no_feedback,5,9c27d0905127f2eb,0.02345706894993782,1.0,0.002551020408163265,0.3333333333333333,1.0,0.1175,0.008225975119501861,8,0,46.17530822753906,0.708116352558136
A2_down_large_no_feedback_s06,A2,down_large,no_feedback,6,1d3eb94610b602b8,0.03856431320309639,1.0,0.00510204081632653,0.0,0.0,,,12,0,23.03765296936035,0.49715474247932434
A2_down_large_no_feedback_s07,A2,down_large,no_feedback,7,d4b5f24b166dfc13,0.019745875149965286,1.0,0.00510204081632653,0.3333333333333333,1.0,0.11100000000000004,0.0011547005383793166,8,0,23.322816848754883,0.498505175113678
A2_down_small_full_s00,A2,down_small,full,0,1d3eb94610b602b8,0.30160456895828247,7.4,0.012755102040816327,0.4166666666666667,1.0,0.11200000000000002,0.0014142135623730963,7,0,32.58585739135742,0.5910870432853699
A2_down_small_full_s01,A2,down_small,full,1,d4b5f24b166dfc13,0.6381471753120422,8.333333333333334,0.015306122448979591,0.4166666666666667,1.0,0.1116,0.0016733200530681261,7,0,24.711894989013672,0.5127997398376465
A2_down_small_full_s02,A2,down_small,full,2,9c27d0905127f2eb,0.2789677679538727,6.5,0.007653061224489796,0.3333333333333333,1.0,0.11299999999999999,0.0038297084310252396,8,0,47.43001174926758,0.7124667167663574
A2_down_small_full_s03,A2,down_small,full,3,1d3eb94610b602b8,0.6256521940231323,8.25,0.01020408163265306,0.5,1.0,0.11433333333333325,0.005853773711603826,6,0,33.73741912841797,0.6009477376937866
A2_down_small_full_s04,A2,down_small,full,4,d4b5f24b166dfc13,0.5984221696853638,8.678571428571429,0.017857142857142856,0.4166666666666667,1.0,0.10999999999999996,0.00244948974278309,7,0,24.952903747558594,0.51664137840271
A2_down_small_full_s05,A2,down_small,full,5,9c27d0905127f2eb,0.4440951943397522,8.5,0.00510204081632653,0.3333333333333333,1.0,0.11649999999999999,0.006608075867199508,8,0,47.22407913208008,0.7141599655151367
A2_down_small_full_s06,A2,down_small,full,6,1d3eb94610b602b8,0.4278375506401062,8.5,0.00510204081632653,0.0,0.0,,,12,0,23.03765296936035,0.49715474247932434
A2_down_small_full_s07,A2,down_small,full,7,d4b5f24b166dfc13,0.765448272228241,8.0,0.007653061224489796,0.4166666666666667,1.0,0.1116,0.0016733200530681261,7,0,24.751657485961914,0.5137055516242981
A2_down_small_no_cpg_s00,A2,down_small,no_cpg,0,1d3eb94610b602b8,0.0,,0.0,0.0,0.0,,,12,0,23.03765296936035,0.49715474247932434
A2_down_small_no_cpg_s01,A2,down_small,no_cpg,1,d4b5f24b166dfc13,0.0,,0.0,0.0,0.0,,,12,0,15.84249210357666,0.4103125035762787
A2_down_small_no_cpg_s02,A2,down_small,no_cpg,2,9c27d0905127f2eb,0.0,,0.0,0.25,1.0,0.11466666666666676,0.004618802153517011,9,0,45.1477165222168,0.7008123993873596
A2_down_small_no_cpg_s03,A2,down_small,no_cpg,3,1d3eb94610b602b8,0.0,,0.0,0.0,0.0,,,12,0,23.03765296936035,0.49715474247932434
A2_down_small_no_cpg_s04,A2,down_small,no_cpg,4,d4b5f24b166dfc13,0.0,,0.0,0.4166666666666667,1.0,0.1116,0.0016733200530681261,7,0,24.751657485961914,0.5137055516242981
A2_down_small_no_cpg_s05,A2,down_small,no_cpg,5,9c27d0905127f2eb,0.0,,0.0,0.25,1.0,0.11466666666666676,0.004618802153517011,9,0,45.1477165222168,0.7008123993873596
A2_down_small_no_cpg_s06,A2,down_small,no_cpg,6,1d3eb94610b602b8,0.0,,0.0,0.0,0.0,,,12,0,23.03765296936035,0.49715474247932434
A2_down_small_no_cpg_s07,A2,down_small,no_cpg,7,d4b5f24b166dfc13,0.0,,0.0,0.0,0.0,,,12,0,15.84249210357666,0.4103125035762787
A2_down_small_no_feedback_s00,A2,down_small,no_feedback,0,1d3eb94610b602b8,0.29736554622650146,7.3,0.012755102040816327,0.4166666666666667,1.0,0.11200000000000002,0.0014142135623730963,7,0,32.58585739135742,0.5910870432853699
A2_down_small_no_feedback_s01,A2,down_small,no_feedback,1,d4b5f24b166dfc13,0.6369727253913879,8.333333333333334,0.015306122448979591,0.4166666666666667,1.0,0.11199999999999996,0.0024494897427830443,7,0,24.70602798461914,0.5126133561134338
A2_down_small_no_feedback_s02,A2,down_small,no_feedback,2,9c27d0905127f2eb,0.268640398979187,6.583333333333333,0.007653061224489796,0.3333333333333333,1.0,0.11299999999999999,0.0038297084310252396,8,0,46.992008209228516,0.7112351655960083
A2_down_small_no_feedback_s03,A2,down_small,no_feedback,3,1d3eb94610b602b8,0.6105840802192688,8.25,0.01020408163265306,0.5,1.0,0.11466666666666654,0.006653319973266165,6,0,33.748939514160156,0.6009426116943359
A2_down_small_no_feedback_s04,A2,down_small,no_feedback,4,d4b5f24b166dfc13,0.5975141525268555,8.678571428571429,0.017857142857142856,0.4166666666666667,1.0,0.10999999999999996,0.00244948974278309,7,0,24.959577560424805,0.5165919661521912
A2_down_small_no_feedback_s05,A2,down_small,no_feedback,5,9c27d0905127f2eb,0.45067039132118225,8.5,0.00510204081632653,0.3333333333333333,1.0,0.1175,0.008225975119501861,8,0,48.05028533935547,0.7128653526306152
A2_down_small_no_feedback_s06,A2,down_small,no_feedback,6,1d3eb94610b602b8,0.43498075008392334,8.5,0.00510204081632653,0.0,0.0,,,12,0,23.03765296936035,0.49715474247932434
A2_down_small_no_feedback_s07,A2,down_small,no_feedback,7,d4b5f24b166dfc13,0.8182821869850159,8.0,0.007653061224489796,0.3333333333333333,1.0,0.11100000000000004,0.0011547005383793166,8,0,24.619762420654297,0.5078442096710205
A2_up_large_full_s00,A2,up_large,full,0,1d3eb94610b602b8,0.510840892791748,8.95138888888889,0.09183673469387756,0.8333333333333334,1.0,0.10619999999999989,0.015562062131278776,2,0,42.890419006347656,0.6768627166748047
A2_up_large_full_s01,A2,up_large,full,1,d4b5f24b166dfc13,0.5721755623817444,8.757575757575758,0.08418367346938775,0.5,1.0,0.10466666666666657,0.010171856598805817,6,0,27.245546340942383,0.5424418449401855
A2_up_large_full_s02,A2,up_large,full,2,9c27d0905127f2eb,0.4954555630683899,9.233870967741936,0.07908163265306123,0.5833333333333334,1.0,0.10628571428571425,0.008976158898517111,5,0,54.02443313598633,0.7635742425918579
A2_up_large_full_s03,A2,up_large,full,3,1d3eb94610b602b8,0.6114977598190308,8.96875,0.08163265306122448,0.75,1.0,0.10266666666666666,0.011575836902790251,3,0,41.998939514160156,0.6674463748931885
A2_up_large_full_s04,A2,up_large,full,4,d4b5f24b166dfc13,0.5269609689712524,8.607142857142858,0.08928571428571429,0.5,1.0,0.10233333333333332,0.010538817137927097,6,0,27.82377815246582,0.5478556752204895
A2_up_large_full_s05,A2,up_large,full,5,9c27d0905127f2eb,0.5122796297073364,8.971153846153847,0.0663265306122449,0.5833333333333334,1.0,0.10828571428571425,0.011513966674062792,5,0,53.22709274291992,0.7596558332443237
A2_up_large_full_s06,A2,up_large,full,6,1d3eb94610b602b8,0.6731340289115906,8.5,0.07142857142857142,0.4166666666666667,1.0,0.10719999999999974,0.004381780460041252,7,0,32.742435455322266,0.5919730067253113
A2_up_large_full_s07,A2,up_large,full,7,d4b5f24b166dfc13,0.6809143424034119,8.443548387096774,0.07908163265306123,0.5,1.0,0.10533333333333332,0.009179687721631297,6,0,27.169618606567383,0.5401936769485474
A2_up_large_no_cpg_s00,A2,up_large,no_cpg,0,1d3eb94610b602b8,0.03214104846119881,1.0,0.012755102040816327,0.3333333333333333,1.0,0.10449999999999982,0.004434711565216502,8,0,29.269634246826172,0.5617120862007141
A2_up_large_no_cpg_s01,A2,up_large,no_cpg,1,d4b5f24b166dfc13,0.033406537026166916,1.0,0.012755102040816327,0.16666666666666666,1.0,0.10299999999999976,0.004242640687119446,10,0,18.989826202392578,0.45019301772117615
A2_up_large_no_cpg_s02,A2,up_large,no_cpg,2,9c27d0905127f2eb,0.030492708086967468,1.0,0.01020408163265306,0.5,1.0,0.11333333333333329,0.0041311822359544675,6,0,50.3836669921875,0.7398207187652588
A2_up_large_no_cpg_s03,A2,up_large,no_cpg,3,1d3eb94610b602b8,0.029765184968709946,1.0,0.01020408163265306,0.3333333333333333,1.0,0.1044999999999996,0.005259911279352869,8,0,29.250036239624023,0.5614824891090393
A2_up_large_no_cpg_s04,A2,up_large,no_cpg,4,d4b5f24b166dfc13,0.03226142004132271,1.0,0.015306122448979591,0.5,1.0,0.10633333333333335,0.007527726527090797,6,0,26.822940826416016,0.5358298420906067
A2_up_large_no_cpg_s05,A2,up_large,no_cpg,5,9c27d0905127f2eb,0.030878353863954544,1.0,0.01020408163265306,0.5,1.0,0.11333333333333329,0.0041311822359544675,6,0,50.33135223388672,0.7394136786460876
A2_up_large_no_cpg_s06,A2,up_large,no_cpg,6,1d3eb94610b602b8,0.0310378260910511,1.0,0.01020408163265306,0.4166666666666667,1.0,0.11319999999999979,0.0038987177379232246,7,0,30.758005142211914,0.5748017430305481
A2_up_large_no_cpg_s07,A2,up_large,no_cpg,7,d4b5f24b166dfc13,0.03254926577210426,1.0,0.015306122448979591,0.16666666666666666,1.0,0.10799999999999965,0.005656854249491757,10,0,18.766958236694336,0.44715896248817444
A2_up_large_no_feedback_s00,A2,up_large,no_feedback,0,1d3eb94610b602b8,0.509812593460083,8.95138888888889,0.09183673469387756,0.8333333333333334,1.0,0.10579999999999985,0.014680296696971467,2,0,42.89940643310547,0.677237331867218
A2_up_large_no_feedback_s01,A2,up_large,no_feedback,1,d4b5f24b166dfc13,0.5584967732429504,8.757575757575758,0.08418367346938775,0.5,1.0,0.10499999999999987,0.009528903399657498,6,0,27.25996208190918,0.5424850583076477
A2_up_large_no_feedback_s02,A2,up_large,no_feedback,2,9c27d0905127f2eb,0.4901478886604309,9.225806451612904,0.07908163265306123,0.5833333333333334,1.0,0.10714285714285714,0.00798808636717977,5,0,53.89908981323242,0.7634025812149048
A2_up_large_no_feedback_s03,A2,up_large,no_feedback,3,1d3eb94610b602b8,0.6111465692520142,8.96875,0.08163265306122448,0.75,1.0,0.10266666666666666,0.011575836902790251,3,0,41.990238189697266,0.667364239692688
A2_up_large_no_feedback_s04,A2,up_large,no_feedback,4,d4b5f24b166dfc13,0.5376039743423462,8.607142857142858,0.08928571428571429,0.5,1.0,0.10233333333333332,0.010538817137927097,6,0,27.825939178466797,0.5477790236473083
A2_up_large_no_feedback_s05,A2,up_large,no_feedback,5,9c27d0905127f2eb,0.5103047490119934,8.971153846153847,0.0663265306122449,0.5833333333333334,1.0,0.10885714285714283,0.012482368517614093,5,0,53.20005416870117,0.75933438539505
A2_up_large_no_feedback_s06,A2,up_large,no_feedback,6,1d3eb94610b602b8,0.6729742884635925,8.5,0.07142857142857142,0.4166666666666667,1.0,0.10719999999999974,0.004381780460041252,7,0,32.57765579223633,0.5894668698310852
A2_up_large_no_feedback_s07,A2,up_large,no_feedback,7,d4b5f24b166dfc13,0.6905215978622437,8.443548387096774,0.07908163265306123,0.5,1.0,0.10500000000000002,0.009859006035093007,6,0,27.28247833251953,0.5402477383613586
A2_up_small_full_s00,A2,up_small,full,0,1d3eb94610b602b8,0.5538132786750793,8.86111111111111,0.04591836734693878,0.75,1.0,0.10888888888888879,0.005206833117271082,3,0,40.123016357421875,0.6523131132125854
A2_up_small_full_s01,A2,up_small,full,1,d4b5f24b166dfc13,0.7286246418952942,8.852941176470589,0.04336734693877551,0.5,1.0,0.10699999999999994,0.0062928530890210554,6,0,26.851024627685547,0.533755362033844
A2_up_small_full_s02,A2,up_small,full,2,9c27d0905127f2eb,0.6875709891319275,9.392857142857142,0.03571428571428571,0.5833333333333334,1.0,0.10914285714285706,0.0059841059323447136,5,0,53.09358215332031,0.7535872459411621
A2_up_small_full_s03,A2,up_small,full,3,1d3eb94610b602b8,0.6684041619300842,8.86111111111111,0.04591836734693878,0.75,1.0,0.10866666666666659,0.006480740698408014,3,0,39.0484504699707,0.6475358009338379
A2_up_small_full_s04,A2,up_small,full,4,d4b5f24b166dfc13,0.7656791806221008,8.954545454545455,0.05612244897959184,0.5,1.0,0.10433333333333324,0.007312090444371466,6,0,27.2515869140625,0.5406305193901062
A2_up_small_full_s05,A2,up_small,full,5,9c27d0905127f2eb,0.689746081829071,9.041666666666666,0.030612244897959183,0.5833333333333334,1.0,0.11142857142857143,0.008618916073713321,5,0,52.17405700683594,0.7514213919639587
A2_up_small_full_s06,A2,up_small,full,6,1d3eb94610b602b8,0.7304247617721558,9.05,0.025510204081632654,0.3333333333333333,1.0,0.11299999999999977,0.004760952285694895,8,0,30.603927612304688,0.5695484280586243
A2_up_small_full_s07,A2,up_small,full,7,d4b5f24b166dfc13,0.6624808311462402,8.765625,0.04081632653061224,0.5,1.0,0.10999999999999992,0.0017888543820000322,6,0,26.21515655517578,0.5304859280586243
A2_up_small_no_cpg_s00,A2,up_small,no_cpg,0,1d3eb94610b602b8,0.0,,0.0,0.3333333333333333,1.0,0.11349999999999971,0.004434711565216302,8,0,28.548166275024414,0.5537789463996887
A2_up_small_no_cpg_s01,A2,up_small,no_cpg,1,d4b5f24b166dfc13,0.0,,0.0,0.16666666666666666,1.0,0.1120000000000001,0.0028284271247458787,10,0,18.626005172729492,0.4452432692050934
A2_up_small_no_cpg_s02,A2,up_small,no_cpg,2,9c27d0905127f2eb,0.0,,0.0,0.5,1.0,0.11533333333333336,0.003932768321000689,6,0,50.080841064453125,0.7374379634857178
A2_up_small_no_cpg_s03,A2,up_small,no_cpg,3,1d3eb94610b602b8,0.0,,0.0,0.3333333333333333,1.0,0.11349999999999971,0.004434711565216302,8,0,28.548166275024414,0.5537789463996887
A2_up_small_no_cpg_s04,A2,up_small,no_cpg,4,d4b5f24b166dfc13,0.0,,0.0,0.5,1.0,0.11099999999999995,0.001095445115010171,6,0,26.15630340576172,0.5281949639320374
A2_up_small_no_cpg_s05,A2,up_small,no_cpg,5,9c27d0905127f2eb,0.0,,0.0,0.5,1.0,0.11533333333333336,0.003932768321000689,6,0,50.080841064453125,0.7374379634857178
A2_up_small_no_cpg_s06,A2,up_small,no_cpg,6,1d3eb94610b602b8,0.0,,0.0,0.08333333333333333,1.0,0.11199999999999921,,11,0,24.260591506958008,0.5101575255393982
A2_up_small_no_cpg_s07,A2,up_small,no_cpg,7,d4b5f24b166dfc13,0.0,,0.0,0.16666666666666666,1.0,0.1120000000000001,0.0028284271247458787,10,0,18.626005172729492,0.4452432692050934
A2_up_small_no_feedback_s00,A2,up_small,no_feedback,0,1d3eb94610b602b8,0.5639435648918152,8.86111111111111,0.04591836734693878,0.75,1.0,0.10888888888888888,0.005395471352079551,3,0,40.14533233642578,0.6525639295578003
A2_up_small_no_feedback_s01,A2,up_small,no_feedback,1,d4b5f24b166dfc13,0.733219563961029,8.852941176470589,0.04336734693877551,0.5,1.0,0.10733333333333339,0.0058878405775519135,6,0,26.771329879760742,0.5335750579833984
A2_up_small_no_feedback_s02,A2,up_small,no_feedback,2,9c27d0905127f2eb,0.6737673878669739,9.392857142857142,0.03571428571428571,0.5833333333333334,1.0,0.11028571428571432,0.00495695759225631,5,0,52.78351974487305,0.7527543306350708
A2_up_small_no_feedback_s03,A2,up_small,no_feedback,3,1d3eb94610b602b8,0.6675980091094971,8.86111111111111,0.04591836734693878,0.75,1.0,0.10866666666666659,0.006480740698408014,3,0,39.02061080932617,0.6473401188850403
A2_up_small_no_feedback_s04,A2,up_small,no_feedback,4,d4b5f24b166dfc13,0.7783618569374084,8.954545454545455,0.05612244897959184,0.5,1.0,0.10433333333333324,0.007312090444371466,6,0,27.22886085510254,0.5404040813446045
A2_up_small_no_feedback_s05,A2,up_small,no_feedback,5,9c27d0905127f2eb,0.6817886233329773,9.041666666666666,0.030612244897959183,0.5833333333333334,1.0,0.112,0.009660917830792913,5,0,52.135990142822266,0.7510254979133606
