experiment_id,condition,comparison,metric,n_pairs,mean_difference,ci_low,ci_high,cohens_dz,p_raw,test,p_holm
A1,tonic,full - no_cpg,motor_rhythm_power,8,0.7290860116481781,0.6709826320409775,0.7763156369328499,8.862483752948407,4.103000166343218e-08,paired two-sided t; descriptive at small n,7.180250291100631e-06
A3,interruption,full - no_cpg,key_accuracy,8,0.27083333333333337,0.11458333333333334,0.42708333333333337,1.1339618887852412,0.01491327176637428,paired two-sided t; descriptive at small n,1.0
A3,interruption,full - no_cpg,timing_mae_s,4,-0.002341666666666669,-0.004033333333333354,-0.0005749999999999818,-1.0921265162451583,0.11688197800824993,paired two-sided t; descriptive at small n,1.0
A3,interruption,full - no_feedback,motor_rhythm_power,8,-0.0028019212186336517,-0.01730448380112648,0.01135052740573883,-0.12646069755502973,0.7311210155926192,paired two-sided t; descriptive at small n,1.0
A3,interruption,full - no_feedback,key_accuracy,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
A3,interruption,full - no_feedback,timing_mae_s,7,-0.00014285714285713704,-0.0004285714285714111,0.0,-0.37796447300922725,0.3559176837495822,paired two-sided t; descriptive at small n,1.0
A4,delayed,full - no_feedback,motor_rhythm_power,8,-0.008537493646144867,-0.020300589315593243,0.0018773576244711884,-0.5024771249718883,0.1982345280638669,paired two-sided t; descriptive at small n,1.0
A4,delayed,full - no_feedback,key_accuracy,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
A4,delayed,full - no_feedback,timing_mae_s,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
A4,noisy,full - no_feedback,motor_rhythm_power,8,0.00025545060634613037,-0.013020507991313934,0.012214331701397903,0.013097049872230485,0.9714841673503971,paired two-sided t; descriptive at small n,1.0
A4,noisy,full - no_feedback,key_accuracy,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
A4,noisy,full - no_feedback,timing_mae_s,8,-0.00019642857142856615,-0.00046428571428570355,0.0,-0.5151221963699347,0.188467963275177,paired two-sided t; descriptive at small n,1.0
A4,normal,full - no_feedback,motor_rhythm_power,8,-0.0018913261592388153,-0.016361061483621597,0.011187055334448815,-0.08849660023470975,0.8095380740945592,paired two-sided t; descriptive at small n,1.0
A4,normal,full - no_feedback,key_accuracy,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
A4,normal,full - no_feedback,timing_mae_s,8,-0.00010714285714285253,-0.0003214285714285576,0.0,-0.3535533905932738,0.3506166628202074,paired two-sided t; descriptive at small n,1.0
